"V1","bird","sex","tissue","treatment","group","study","sextissue","samples","hiloPRL","external"
"blu63.g62_female_pituitary_m.inc.d9","blu63.g62","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation","female_pituitary","blu63.g62_female_pituitary_m.inc.d9","lo","nest"
"blu80.r97_female_gonad_m.inc.d8","blu80.r97","female","gonads","early","female.gonads.early","charcterization","female_gonads","blu80.r97_female_gonad_m.inc.d8","lo","chicks"
"blu80.r97_female_hypothalamus_m.inc.d8","blu80.r97","female","hypothalamus","early","female.hypothalamus.early","charcterization","female_hypothalamus","blu80.r97_female_hypothalamus_m.inc.d8","lo","chicks"
"blu80.r97_female_pituitary_m.inc.d8","blu80.r97","female","pituitary","early","female.pituitary.early","charcterization","female_pituitary","blu80.r97_female_pituitary_m.inc.d8","lo","chicks"
"blu81.r88_male_gonad_n9","blu81.r88","male","gonads","n9","male.gonads.n9","charcterization","male_gonads","blu81.r88_male_gonad_n9","hi","chicks"
"blu81.r88_male_hypothalamus_n9","blu81.r88","male","hypothalamus","n9","male.hypothalamus.n9","charcterization","male_hypothalamus","blu81.r88_male_hypothalamus_n9","hi","chicks"
"blu81.r88_male_pituitary_n9","blu81.r88","male","pituitary","n9","male.pituitary.n9","charcterization","male_pituitary","blu81.r88_male_pituitary_n9","hi","chicks"
"blu84.x_male_gonad_extend.hatch","blu84.x","male","gonads","extend","male.gonads.extend","manipulation","male_gonads","blu84.x_male_gonad_extend.hatch","hi","chicks"
"blu84.x_male_hypothalamus_extend.hatch","blu84.x","male","hypothalamus","extend","male.hypothalamus.extend","manipulation","male_hypothalamus","blu84.x_male_hypothalamus_extend.hatch","hi","chicks"
"blu84.x_male_pituitary_extend.hatch","blu84.x","male","pituitary","extend","male.pituitary.extend","manipulation","male_pituitary","blu84.x_male_pituitary_extend.hatch","hi","chicks"
"d.r.blk.s159_female_gonad_m.inc.d9","d.r.blk.s159","female","gonads","m.inc.d9","female.gonads.m.inc.d9","manipulation","female_gonads","d.r.blk.s159_female_gonad_m.inc.d9","lo","nest"
"d.r.blk.s159_female_hypothalamus_m.inc.d9","d.r.blk.s159","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation","female_hypothalamus","d.r.blk.s159_female_hypothalamus_m.inc.d9","lo","nest"
"d.r.blk.s159_female_pituitary_m.inc.d9","d.r.blk.s159","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation","female_pituitary","d.r.blk.s159_female_pituitary_m.inc.d9","lo","nest"
"d.s008.y.blk_male_gonad_n5","d.s008.y.blk","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","d.s008.y.blk_male_gonad_n5","hi","chicks"
"d.s008.y.blk_male_hypothalamus_n5","d.s008.y.blk","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","d.s008.y.blk_male_hypothalamus_n5","hi","chicks"
"d.s008.y.blk_male_pituitary_n5","d.s008.y.blk","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","d.s008.y.blk_male_pituitary_n5","hi","chicks"
"d.s047.blk.o_male_gonad_n5","d.s047.blk.o","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","d.s047.blk.o_male_gonad_n5","hi","chicks"
"d.s047.blk.o_male_hypothalamus_n5","d.s047.blk.o","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","d.s047.blk.o_male_hypothalamus_n5","hi","chicks"
"d.s047.blk.o_male_pituitary_n5","d.s047.blk.o","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","d.s047.blk.o_male_pituitary_n5","hi","chicks"
"d.s110.g.blk_male_gonad_m.inc.d3","d.s110.g.blk","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","d.s110.g.blk_male_gonad_m.inc.d3","lo","nest"
"d.s110.g.blk_male_hypothalamus_m.inc.d3","d.s110.g.blk","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","d.s110.g.blk_male_hypothalamus_m.inc.d3","lo","nest"
"d.s110.g.blk_male_pituitary_m.inc.d3","d.s110.g.blk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","d.s110.g.blk_male_pituitary_m.inc.d3","lo","nest"
"d.s112.blk.w_female_gonad_m.inc.d17","d.s112.blk.w","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","d.s112.blk.w_female_gonad_m.inc.d17","hi","nest"
"d.s112.blk.w_female_hypothalamus_m.inc.d17","d.s112.blk.w","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","d.s112.blk.w_female_hypothalamus_m.inc.d17","hi","nest"
"d.s112.blk.w_female_pituitary_m.inc.d17","d.s112.blk.w","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","d.s112.blk.w_female_pituitary_m.inc.d17","hi","nest"
"d.s177.blk.r_female_gonad_m.inc.d3","d.s177.blk.r","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","d.s177.blk.r_female_gonad_m.inc.d3","lo","nest"
"d.s177.blk.r_female_hypothalamus_m.inc.d3","d.s177.blk.r","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","d.s177.blk.r_female_hypothalamus_m.inc.d3","lo","nest"
"d.s177.blk.r_female_pituitary_m.inc.d3","d.s177.blk.r","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","d.s177.blk.r_female_pituitary_m.inc.d3","lo","nest"
"g.blk.s004.pk_female_gonad_lay","g.blk.s004.pk","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","g.blk.s004.pk_female_gonad_lay","lo","eggs"
"g.blk.s004.pk_female_hypothalamus_lay","g.blk.s004.pk","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","g.blk.s004.pk_female_hypothalamus_lay","lo","eggs"
"g.blk.s004.pk_female_pituitary_lay","g.blk.s004.pk","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","g.blk.s004.pk_female_pituitary_lay","lo","eggs"
"g.blk.s041.r_male_gonad_m.inc.d3","g.blk.s041.r","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","g.blk.s041.r_male_gonad_m.inc.d3","lo","nest"
"g.blk.s041.r_male_hypothalamus_m.inc.d3","g.blk.s041.r","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","g.blk.s041.r_male_hypothalamus_m.inc.d3","lo","nest"
"g.blk.s041.r_male_pituitary_m.inc.d3","g.blk.s041.r","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","g.blk.s041.r_male_pituitary_m.inc.d3","lo","nest"
"g.o.y.s037_male_gonad_m.inc.d17","g.o.y.s037","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","g.o.y.s037_male_gonad_m.inc.d17","hi","nest"
"g.o.y.s037_male_hypothalamus_m.inc.d17","g.o.y.s037","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","g.o.y.s037_male_hypothalamus_m.inc.d17","hi","nest"
"g.o.y.s037_male_pituitary_m.inc.d17","g.o.y.s037","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","g.o.y.s037_male_pituitary_m.inc.d17","hi","nest"
"g.s.blk.d_male_gonad_n9","g.s.blk.d","male","gonads","n9","male.gonads.n9","charcterization","male_gonads","g.s.blk.d_male_gonad_n9","hi","chicks"
"g.s.blk.d_male_hypothalamus_n9","g.s.blk.d","male","hypothalamus","n9","male.hypothalamus.n9","charcterization","male_hypothalamus","g.s.blk.d_male_hypothalamus_n9","hi","chicks"
"g.s.blk.d_male_pituitary_n9","g.s.blk.d","male","pituitary","n9","male.pituitary.n9","charcterization","male_pituitary","g.s.blk.d_male_pituitary_n9","hi","chicks"
"g.s.blk.y_male_gonad_lay","g.s.blk.y","male","gonads","lay","male.gonads.lay","charcterization","male_gonads","g.s.blk.y_male_gonad_lay","lo","eggs"
"g.s.blk.y_male_hypothalamus_lay","g.s.blk.y","male","hypothalamus","lay","male.hypothalamus.lay","charcterization","male_hypothalamus","g.s.blk.y_male_hypothalamus_lay","lo","eggs"
"g.s.blk.y_male_pituitary_lay","g.s.blk.y","male","pituitary","lay","male.pituitary.lay","charcterization","male_pituitary","g.s.blk.y_male_pituitary_lay","lo","eggs"
"g.s043.pu.blk_male_gonad_lay","g.s043.pu.blk","male","gonads","lay","male.gonads.lay","charcterization","male_gonads","g.s043.pu.blk_male_gonad_lay","lo","eggs"
"g.s043.pu.blk_male_hypothalamus_lay","g.s043.pu.blk","male","hypothalamus","lay","male.hypothalamus.lay","charcterization","male_hypothalamus","g.s043.pu.blk_male_hypothalamus_lay","lo","eggs"
"g.s043.pu.blk_male_pituitary_lay","g.s043.pu.blk","male","pituitary","lay","male.pituitary.lay","charcterization","male_pituitary","g.s043.pu.blk_male_pituitary_lay","lo","eggs"
"g.s075.pk.pu_male_gonad_m.hatch","g.s075.pk.pu","male","gonads","m.n2","male.gonads.m.n2","manipulation","male_gonads","g.s075.pk.pu_male_gonad_m.hatch","hi","nest"
"g.s075.pk.pu_male_hypothalamus_m.hatch","g.s075.pk.pu","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation","male_hypothalamus","g.s075.pk.pu_male_hypothalamus_m.hatch","hi","nest"
"g.s075.pk.pu_male_pituitary_m.hatch","g.s075.pk.pu","male","pituitary","m.n2","male.pituitary.m.n2","manipulation","male_pituitary","g.s075.pk.pu_male_pituitary_m.hatch","hi","nest"
"g.s076.pk.r_female_gonad_m.hatch","g.s076.pk.r","female","gonads","m.n2","female.gonads.m.n2","manipulation","female_gonads","g.s076.pk.r_female_gonad_m.hatch","hi","nest"
"g.s076.pk.r_female_hypothalamus_m.hatch","g.s076.pk.r","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation","female_hypothalamus","g.s076.pk.r_female_hypothalamus_m.hatch","hi","nest"
"g.s076.pk.r_female_pituitary_m.hatch","g.s076.pk.r","female","pituitary","m.n2","female.pituitary.m.n2","manipulation","female_pituitary","g.s076.pk.r_female_pituitary_m.hatch","hi","nest"
"g.s078.blk.o_female_gonad_lay","g.s078.blk.o","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","g.s078.blk.o_female_gonad_lay","lo","eggs"
"g.s078.blk.o_female_hypothalamus_lay","g.s078.blk.o","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","g.s078.blk.o_female_hypothalamus_lay","lo","eggs"
"g.s078.blk.o_female_pituitary_lay","g.s078.blk.o","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","g.s078.blk.o_female_pituitary_lay","lo","eggs"
"g.s111.r.blk_male_gonad_m.inc.d8","g.s111.r.blk","male","gonads","early","male.gonads.early","charcterization","male_gonads","g.s111.r.blk_male_gonad_m.inc.d8","lo","chicks"
"g.s111.r.blk_male_hypothalamus_m.inc.d8","g.s111.r.blk","male","hypothalamus","early","male.hypothalamus.early","charcterization","male_hypothalamus","g.s111.r.blk_male_hypothalamus_m.inc.d8","lo","chicks"
"g.s111.r.blk_male_pituitary_m.inc.d8","g.s111.r.blk","male","pituitary","early","male.pituitary.early","charcterization","male_pituitary","g.s111.r.blk_male_pituitary_m.inc.d8","lo","chicks"
"g.s179.o.pk_male_gonad_m.inc.d8","g.s179.o.pk","male","gonads","early","male.gonads.early","charcterization","male_gonads","g.s179.o.pk_male_gonad_m.inc.d8","lo","chicks"
"g.s179.o.pk_male_hypothalamus_m.inc.d8","g.s179.o.pk","male","hypothalamus","early","male.hypothalamus.early","charcterization","male_hypothalamus","g.s179.o.pk_male_hypothalamus_m.inc.d8","lo","chicks"
"g.s179.o.pk_male_pituitary_m.inc.d8","g.s179.o.pk","male","pituitary","early","male.pituitary.early","charcterization","male_pituitary","g.s179.o.pk_male_pituitary_m.inc.d8","lo","chicks"
"g.s351.pk.w_male_gonad_extend","g.s351.pk.w","male","gonads","extend","male.gonads.extend","manipulation","male_gonads","g.s351.pk.w_male_gonad_extend","hi","chicks"
"g.s351.pk.w_male_hypothalamus_extend","g.s351.pk.w","male","hypothalamus","extend","male.hypothalamus.extend","manipulation","male_hypothalamus","g.s351.pk.w_male_hypothalamus_extend","hi","chicks"
"g.s351.pk.w_male_pituitary_extend","g.s351.pk.w","male","pituitary","extend","male.pituitary.extend","manipulation","male_pituitary","g.s351.pk.w_male_pituitary_extend","hi","chicks"
"g.y.blk.s006_female_gonad_m.inc.d17","g.y.blk.s006","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","g.y.blk.s006_female_gonad_m.inc.d17","hi","nest"
"g.y.blk.s006_female_hypothalamus_m.inc.d17","g.y.blk.s006","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","g.y.blk.s006_female_hypothalamus_m.inc.d17","hi","nest"
"g.y.blk.s006_female_pituitary_m.inc.d17","g.y.blk.s006","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","g.y.blk.s006_female_pituitary_m.inc.d17","hi","nest"
"g.y.o.s_male_gonad_prolong","g.y.o.s","male","gonads","prolong","male.gonads.prolong","manipulation","male_gonads","g.y.o.s_male_gonad_prolong","hi","eggs"
"g.y.o.s_male_hypothalamus_prolong","g.y.o.s","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation","male_hypothalamus","g.y.o.s_male_hypothalamus_prolong","hi","eggs"
"g.y.o.s_male_pituitary_prolong","g.y.o.s","male","pituitary","prolong","male.pituitary.prolong","manipulation","male_pituitary","g.y.o.s_male_pituitary_prolong","hi","eggs"
"g104.w82.x_male_gonad_bldg","g104.w82.x","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","g104.w82.x_male_gonad_bldg","lo","nest"
"g104.w82.x_male_hypothalamus_bldg","g104.w82.x","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","g104.w82.x_male_hypothalamus_bldg","lo","nest"
"g104.w82.x_male_pituitary_bldg","g104.w82.x","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","g104.w82.x_male_pituitary_bldg","lo","nest"
"g114.w83.x_male_gonad_hatch.NYNO","g114.w83.x","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","g114.w83.x_male_gonad_hatch.NYNO","hi","chicks"
"g114.w83.x_male_hypothalamus_hatch","g114.w83.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","g114.w83.x_male_hypothalamus_hatch","hi","chicks"
"g114.w83.x_male_pituitary_hatch.NYNO","g114.w83.x","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","g114.w83.x_male_pituitary_hatch.NYNO","hi","chicks"
"g130.y81.x_male_gonad_inc.d17","g130.y81.x","male","gonads","inc.d17","male.gonads.inc.d17","charcterization","male_gonads","g130.y81.x_male_gonad_inc.d17","hi","eggs"
"g130.y81.x_male_hypothalamus_inc.d17","g130.y81.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization","male_hypothalamus","g130.y81.x_male_hypothalamus_inc.d17","hi","eggs"
"g130.y81.x_male_pituitary_inc.d17","g130.y81.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization","male_pituitary","g130.y81.x_male_pituitary_inc.d17","hi","eggs"
"g137.r24.w5_male_gonad_m.inc.d8","g137.r24.w5","male","gonads","early","male.gonads.early","charcterization","male_gonads","g137.r24.w5_male_gonad_m.inc.d8","lo","chicks"
"g137.r24.w5_male_hypothalamus_m.inc.d8","g137.r24.w5","male","hypothalamus","early","male.hypothalamus.early","charcterization","male_hypothalamus","g137.r24.w5_male_hypothalamus_m.inc.d8","lo","chicks"
"g137.r24.w5_male_pituitary_m.inc.d8","g137.r24.w5","male","pituitary","early","male.pituitary.early","charcterization","male_pituitary","g137.r24.w5_male_pituitary_m.inc.d8","lo","chicks"
"g141.blu27.x_female_gonad_bldg","g141.blu27.x","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","g141.blu27.x_female_gonad_bldg","lo","nest"
"g141.blu27.x_female_hypothalamus_bldg","g141.blu27.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","g141.blu27.x_female_hypothalamus_bldg","lo","nest"
"g141.blu27.x_female_pituitary_bldg","g141.blu27.x","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","g141.blu27.x_female_pituitary_bldg","lo","nest"
"g142.r40.x_female_gonad_inc.d17","g142.r40.x","female","gonads","inc.d17","female.gonads.inc.d17","charcterization","female_gonads","g142.r40.x_female_gonad_inc.d17","hi","eggs"
"g142.r40.x_female_hypothalamus_inc.d17","g142.r40.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization","female_hypothalamus","g142.r40.x_female_hypothalamus_inc.d17","hi","eggs"
"g142.r40.x_female_pituitary_inc.d17","g142.r40.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization","female_pituitary","g142.r40.x_female_pituitary_inc.d17","hi","eggs"
"g143.blu32.x_male_gonad_inc.d17","g143.blu32.x","male","gonads","inc.d17","male.gonads.inc.d17","charcterization","male_gonads","g143.blu32.x_male_gonad_inc.d17","lo","eggs"
"g143.blu32.x_male_hypothalamus_inc.d17","g143.blu32.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization","male_hypothalamus","g143.blu32.x_male_hypothalamus_inc.d17","lo","eggs"
